iter	Logloss
0	0.6927593603
1	0.6922830967
2	0.6918267682
3	0.6914461572
4	0.6910561285
5	0.6908076041
6	0.6904817168
7	0.6901949893
8	0.6898936081
9	0.6896557064
10	0.689354525
11	0.6890848097
12	0.6888513154
13	0.6886813342
14	0.6884845191
15	0.6882972666
16	0.6881218218
17	0.6879310322
18	0.6877872293
19	0.687671389
20	0.6875093688
21	0.6873191027
22	0.6871644403
23	0.6870591583
24	0.6869397241
25	0.6867627884
26	0.6866580243
27	0.6865607056
28	0.6864718944
29	0.6863653903
30	0.6862397922
31	0.6861351015
32	0.6860630297
33	0.6859895132
34	0.6858793575
35	0.6857839494
36	0.6857313975
37	0.6856085708
38	0.6855281355
39	0.6854367252
40	0.685358235
41	0.6852680346
42	0.6852046919
43	0.6851314474
44	0.6850531223
45	0.6849670662
46	0.6848907387
47	0.6847917155
48	0.6847064876
49	0.6846337734
50	0.684487959
51	0.6843722691
52	0.684301606
53	0.6842324069
54	0.6841726773
55	0.6840702022
56	0.6839686681
57	0.6838841751
58	0.6837733705
59	0.6836765821
60	0.6835921359
61	0.6834938802
62	0.6834081759
63	0.6833095004
64	0.6832052761
65	0.6830872023
66	0.6830247722
67	0.6829553746
68	0.6828626324
69	0.6827991238
70	0.6827105786
71	0.6826604305
72	0.6825755844
73	0.6825055973
74	0.6823878742
75	0.6822753523
76	0.6822108407
77	0.6821293685
78	0.6820758797
79	0.6820210977
80	0.6819497074
81	0.6819034089
82	0.6818678996
83	0.6817712268
84	0.6816872347
85	0.6816064146
86	0.6815148721
87	0.6814568591
88	0.6813938296
89	0.6813166561
90	0.6812252518
91	0.6811687586
92	0.6810993156
93	0.6810426703
94	0.6809642383
95	0.680898604
96	0.6808182495
97	0.6807850887
98	0.6807443307
99	0.6806815704
100	0.680602538
101	0.6805529839
102	0.6805095069
103	0.68043665
104	0.6803321365
105	0.6802611056
106	0.6801935064
107	0.680093429
108	0.6799919227
109	0.679897062
110	0.6798310621
111	0.6797861782
112	0.6797116754
113	0.6796310101
114	0.6795380556
115	0.6794822832
116	0.6794192252
117	0.6793339695
118	0.6792640818
119	0.6791933015
120	0.6791102517
121	0.6790519444
122	0.6789688253
123	0.6789230021
124	0.6788158219
125	0.6787313462
126	0.6786654537
127	0.6786115116
128	0.6785424407
129	0.6784664483
130	0.6784055102
131	0.6783408419
132	0.6782917495
133	0.6782269456
134	0.678184969
135	0.6781161453
136	0.6780461402
137	0.6779620533
138	0.67791049
139	0.677832881
140	0.6777461034
141	0.6776771138
142	0.6776267329
143	0.6775736927
144	0.6774837912
145	0.6774055645
146	0.67728151
147	0.6772373078
148	0.6771843032
149	0.6770831397
